E0001	查詢資料不存在
E0002	新增資料已存在
E0003	修改資料不存在
E0004	刪除資料不存在
E0005	新增資料時，發生錯誤
E0006	鎖定資料時，發生錯誤
E0007	更新資料時，發生錯誤
E0008	刪除資料時，發生錯誤
E0009	交易代號不可為空白
E0010	功能選擇錯誤
E0011	該筆資料已被刪除
E0012	該筆資料已存在
E0013	程式邏輯有誤
E0014	檔案錯誤
E0015	檢查錯誤
E0016	該筆交易狀態非登錄，不可做訂正登錄交易
E0017	該筆交易狀態非待放行，不可做交易放行
E0018	該筆交易狀態非已放行，不可做訂正已放行交易
E0019	輸入資料錯誤
E0020	已刪除資料，不可做修正
E0021	該筆資料待放行中
E0022	該筆資料需進行AML審查/確認
E0023	AML凍結名單/未確定名單
E0024	上傳檔案格式有誤
E1001	統一編號、戶號需擇一輸入
E1002	戶號不得為0
E1003	此統一編號不存在客戶主檔
E1004	此戶號不存在客戶主檔
E1005	此統編已存在客戶主檔
E2002	交易代號不可為空白
E2003	查無資料
E2004	功能選擇錯誤
E2005	新增資料已存在
E2006	修改資料不存在
E2007	刪除資料不存在
E2008	刪除資料時，發生錯誤
E2009	新增資料時，發生錯誤
E2019	此申請號碼不存在案件申請檔
E2020	此擔保品號碼在額度與擔保品關聯檔無資料
E2021	此核准號碼尚未核准
E2022	此核准號碼在額度主檔無資料
E2023	此擔保品號碼在不動產主檔無資料
E2024	此擔保品號碼在擔保品股票檔無資料
E2025	此擔保品號碼在擔保品其他檔無資料
E2026	此統編不存在於關係人主檔
E2027	此擔保品號碼在擔保品主檔無資料
E2028	此戶號額度查無貸後契變手續費檔
E2029	此戶號查無資料
E2030	此統編之戶號為0
E2031	此案號查無資料
E2032	申請號碼不得為0
E2033	同擔保品在擔保品與額度關聯檔的分配金額加總不得大於擔保品主檔的可分配金額
E2034	變更後之可分配金額不可小於同一擔保品在額度關聯檔的分配金額加總
E2035	該擔保品於額度關聯檔尚有資料,不可刪除
E2051	 統一編號，戶號須擇一輸入      
E2052	 商品參數生效後禁止刪除        
E2053	 此商品尚未生效                
E2054	 此商品已截止                  
E2055	 此商品已停用                  
E2056	 商品參數生效後禁止刪除        
E2061	 統一編號與申請案件不符        
E2062	 申請案件檔，資料已存在        
E2063	 已作過准駁處理之案件不可刪除  
E2064	 申請案件已核准                
E2065	 申請案件已駁回                
E2066	已撥款不可再建檔
E2067	約定部分償還，未過期者僅能一筆
E2071	額度已撥款後，禁止刪除
E2072	該筆額度編號沒有可用額度
E2073	該額度與擔保品關聯，不可刪除
E2074	未全部結案，不可列印
E2081	該員工非現職人員 
E2082	該行庫代號未啟用
E3040	指定應繳日與扣款特定日設定不符
E3050	非展期借新還舊撥款日期不可小於本營業日
E3051	額度不足撥款金額
E3052	已超過動支期限
E3053	已超過循環動用期限
E3054	該筆預約撥款資料已撥款
E3055	該筆資料非預約撥款
E3056	該筆約定部分償還金額已回收
E3057	該票據狀況碼非為兌現，不可入帳
E3058	該票據狀況碼非為未處理
E3059	該票據狀況碼非為抽票或退票
E3060	退還金額大於目前客戶之暫收款
E3061	該戶暫收款為零
E3062	有1期(含)以上期款未繳,不可變更繳款日
E3063	該筆放款戶況非正常戶
E3064	該筆放款應繳日尚未到
E3065	還款分配金額不足
E3066	該筆放款攤還方式非本息平均法及本金平均法
E3067	因該筆放款有最後本金餘額，新攤還金額不足以繳息
E3068	該筆放款戶況非正常戶及逾期戶
E3069	該筆放款戶況非催收戶
E3070	查無可計息的放款資料
E3071	金額不足
